id,name,country_of_origin,district_of_origin,place_of_origin,year,alcohol_volume,wine_category,taste_group,is_organic,bottled_volume,packaging_closing,container_type,category,sub_category,price,inventory,is_on_sale,is_special_order,is_special_reserve,date_on_market,is_available,is_gift
22020,Dark Horse Merlot,bandaríkin,,kalifornía,2013,13.5,merlot,01M,f,750.0,korkur,flaska,red,,2199.0,24,f,f,f,2015-07-01,t,f
22021,Dark Horse Cabernet Sauvignon,bandaríkin,,kalifornía,2013,13.5,cabernet sauvignon,01T,f,750.0,korkur,flaska,red,,2199.0,29,f,f,f,2015-07-01,t,f
22022,Pata Negra Verdejo,spánn,castilla y,rueda,2014,12.5,verdejo,02L,f,750.0,plast,flaska,white,,1599.0,11,f,f,f,2015-04-01,t,f
22023,Pata Negra Gran Seleccion,spánn,,rioja,2012,13.5,tempranillo,01M,f,750.0,korkur,flaska,red,,1699.0,24,f,f,f,2015-04-01,t,f
22025,Founders Centennial IPA,bandaríkin,,,,7.2,,61ÖL,f,355.0,,dós,beer,,499.0,0,f,f,f,2015-04-01,t,f
22026,Founders All Day IPA,bandaríkin,,,,4.7,,61ÖL,f,355.0,,dós,beer,,398.0,1236,f,f,f,2016-02-01,t,f
22029,Java Pay Watermelon,pólland,,,,4.4,,,f,330.0,,dós,cidersoda,soda,382.0,504,f,f,f,2015-06-01,t,f
22030,Java Pay Vodka & Lemon,pólland,,,,4.4,,,f,330.0,,dós,cidersoda,soda,382.0,744,f,f,f,2015-04-01,t,f
22031,Il Nostro Grecanico Organic,ítalía,sikiley,terre siciliane,2014,12.5,grecanico,02L,t,750.0,skruf,flaska,white,,1899.0,0,f,f,f,2015-04-01,t,f
22032,Il Nostro Rosso Puglia Organic,ítalía,puglia,puglia,2013,13.0,negramaro,01M,t,750.0,skruf,flaska,red,,1999.0,60,f,f,f,2015-11-01,t,f
22033,Manifesto Nero d'Avola Organic,ítalía,sikiley,terre siciliane,2013,14.0,nero d'avola,01T,t,750.0,stkork-d,flaska,red,,2199.0,0,f,f,f,2015-10-01,t,f
