id,name,supplier,country_of_origin,district_of_origin,place_of_origin,year,alcohol_volume,grape,taste_group,is_organic,bottled_volume,seal,container,category,sub_category,goes_with,price,is_temp_sale,is_special_order,is_special_reserve,date_on_market,is_available,is_gift
17528,La Chablisienne Saint-Bris Sauvignon,Globus hf,frakkland,bourgogne,saint-bris,2014,12.5,sauvignon blanc,02L,false,750.0,plasttappi,flaska,white,,"{A,B,C,P,Y}",1999,false,false,false,2011-04-01,true,false
17530,Don Luciano Moscato,HOB-vín ehf,spánn,,,,7.0,moscato bianco,04M,false,750.0,korkur,flaska,bubbly,,"{A,O,P,Y}",899,false,false,false,2010-04-01,true,false
17531,Castillo de Gredos hvítt,HOB-vín ehf,spánn,,,,12.0,airen,02L,false,3000.0,Vitop,box,white,,"{A,I,P,Y}",4999,false,false,false,2011-07-01,true,false
17552,Mezzacorona Pinot Grigio,Mekka Wines & Spirits hf,ítalía,trentino-a,dolomiti,2014,12.0,pinot grigio,02L,false,3000.0,Vitop,box,white,,"{A,C,M,P,Y}",6398,false,false,false,2016-05-01,true,false
17569,Don Luciano Crianza,HOB-vín ehf,spánn,castilla l,la mancha,2011,13.0,tempranillo,01M,false,750.0,korkur,flaska,red,,"{A,D,P,Y}",1499,false,false,false,2013-05-01,true,false
17577,Life Club Classic,Avons ehf,búlgaría,,,,37.5,,,false,200.0,skrúftappi,peli,strong,vodka,{},1663,false,false,false,2015-02-01,true,false
17604,Víking Lager,Vífilfell hf.,ísland,,,,4.5,,60LL,false,330.0,,dós,beer,,{},199,false,false,false,2010-04-01,true,false
17607,Lívsins vatn,Dism Spf.,færeyjar,,,,38.0,,,false,700.0,skrúftappi,flaska,strong,snaps,{},5190,false,false,false,2011-08-01,true,false
17608,Fuller's India Pale Ale,Winehouse ehf,stórabretland,,,,5.3,,61ÖL,false,500.0,crown,flaska,beer,,{},690,false,false,false,2010-07-01,true,false
17625,Antano Reserva,HOB-vín ehf,spánn,,rioja,2010,13.5,tempranillo,01M,false,750.0,korkur,flaska,red,,"{F,G,J,L,Y}",1699,false,false,false,2014-03-01,true,false
17626,Antano Crianza,HOB-vín ehf,spánn,,rioja,2011,13.5,tempranillo,01M,false,750.0,korkur,flaska,red,,"{D,L,M,P,Y}",1599,false,false,false,2013-12-01,true,false
17660,Efes Pilsener,Bakkus ehf.,tyrkland,,,,5.0,,60LL,false,500.0,,dós,beer,,{},314,false,false,false,2012-07-01,true,false
17672,Dettling Reserve Kirsch,Elgur ehf,sviss,,,,41.0,,,false,500.0,,flaska,strong,fruitbrandy,{},6698,false,false,false,2011-04-01,true,false
17674,Domaine La Moriniere Chardonnay,Vínekran Bourgogne ehf,frakkland,loire,val de loire,2014,12.0,chardonnay,02M,false,750.0,skrúftappi,flaska,white,,"{B,C,D,I,Y}",2090,false,false,false,2011-01-01,true,false
17676,Mixtus Cabernet Merlot,Globus hf,argentína,,,2014,12.5,cabernet,01M,false,3000.0,Vitop,box,red,,"{3,D,M,P,Y}",5199,false,false,false,2011-01-01,true,false
